odsCode,name,grouping
M85019,TOWER HILL PARTNERSHIP,RRK
M85020,RAYDOCS NEWTOWN,RRK
M85021,MOSELEY MEDICAL CENTRE,RRK
M85023,MILLENNIUM MEDICAL CENTRE,RRK
M85024,THE LIMES MEDICAL CENTRE,RRK
M85025,BATH ROW MEDICAL PRACTICE,RRK
M85026,ASHFIELD SURGERY,RRK
M85027,LEACH HEATH MEDICAL CENTRE,RRK
M85028,LORDSWOOD HOUSE GROUP MEDICAL PRACTICE,RRK
M85029,COLLEGE GREEN MEDICAL PRACTICE,RRK
M85030,ST HELIERS MEDICAL PRACTICE,RRK
M85031,THE HARLEQUIN SURGERY,RRK
M85033,THE MANOR PRACTICE,RRK
M85034,OMNIA PRACTICE,RRK
M85035,WOODGATE VALLEY HEALTH CENTRE,RRK
M85037,KINGSFIELD MEDICAL CENTRE,RRK
M85041,BOURNBROOK VARSITY MEDICAL CENTRE,RRK
M85042,SELLY PARK SURGERY,RRK
M85043,HAWKESLEY MEDICAL PRACTICE,RRK
M85046,SUTTON COLDFIELD GROUP PRACTICE,RRK
M85047,WOODLAND ROAD SURGERY,RRK
M85048,CHURCH ROAD SURGERY,RRK
M85051,FIRSTCARE PRACTICE,RRK
M85052,NORTHFIELD HEALTH CENTRE Z,RRK
M85053,THE ST.CLEMENTS SURGERY,RRK
M85055,SELLY OAK HEALTH CENTRE,RRK
M85056,WEOLEY PARK SURGERY,RRK
M85058,HARBORNE MEDICAL PRACTICE,RRK
M85060,THE OAKS MEDICAL CENTRE,RRK
M85061,YARDLEY GREEN MEDICAL CENTRE,RRK
M85062,SHENLEY GREEN SURGERY,RRK
M85063,MIDLANDS MEDICAL PARTNERSHIP,RRK
M85065,DR SN CLAY AND PARTNERS,RRK
M85066,WARD END MEDICAL CENTRE,RRK
M85069,LAURIE PIKE HEALTH CENTRE,RRK
M85070,RESERVOIR ROAD SURGERY,RRK
M85071,WYCHALL LANE SURGERY,RRK
M85074,WAKE GREEN SURGERY,RRK
M85076,HOLLYMOOR MEDICAL CENTRE,RRK
M85077,NORTHWOOD MEDICAL CENTRE,RRK
M85078,OAKWOOD SURGERY,RRK
M85079,EDEN COURT MEDICAL PRACTICE,RRK
M85081,THE DOVE MEDICAL PRACTICE,RRK
M85082,HANDSWORTH MEDICAL PRACT.,RRK
M85084,THE WAND MEDICAL CENTRE,RRK
M85086,COFTON MEDICAL CENTRE,RRK
M85087,COLLEGE ROAD SURGERY,RRK
M85088,KARIS MEDICAL CENTRE,RRK
M85092,GOODREST CROFT SURGERY,RRK
M85094,YARDLEY MEDICAL CENTRE,RRK
M85097,CRANES PARK ROAD SURGERY,RRK
M85098,ROTTON PARK MEDICAL CENTRE,RRK
M85105,VICTORIA ROAD SURGERY,RRK
M85107,FIRS SURGERY,RRK
M85108,SMALL HEATH MEDICAL PRACTICE,RRK
M85110,SALTLEY AND FERNBANK MEDICAL PRACTICE,RRK
M85113,BUCKLANDS END LANE SURGERY,RRK
M85115,SUTTON ROAD SURGERY,RRK
M85116,FERNLEY MEDICAL CENTRE,RRK
M85117,BARTLEY GREEN MEDICAL PRACTICE,RRK
M85118,BALDWINS LANE SURGERY,RRK
M85123,AL-SHAFA MEDICAL CENTRE,RRK
M85124,BELLEVUE MEDICAL CENTRE,RRK
M85127,COLLEGE ROAD SURGERY,RRK
M85128,DR WALJI AND COLLEAGUES,RRK
M85134,WEST HEATH PRIMARY C CTR,RRK
M85136,DRUIDS HEATH SURGERY,RRK
M85139,ALPHA MEDICAL PRACTICE,RRK
M85141,SCHOOLACRE ROAD SURGERY,RRK
M85142,KEYNELL COVERT,RRK
M85143,JIGGINS LANE MEDICAL CENTRE,RRK
M85145,THE SLIEVE SURGERY,RRK
M85146,THE KHATTAK MEMORIAL SURGERY,RRK
M85149,ALUM ROCK MEDICAL CENTRE,RRK
M85153,WEATHER OAK MEDICAL CENTRE,RRK
M85154,FINCH ROAD PRIMARY CARE CENTRE,RRK
M85155,KINGSTANDING CIRCLE SURGERY,RRK
M85156,RIVER BROOK MEDICAL CENTRE,RRK
M85158,APOLLO SURGERY,RRK
M85159,BG HEALTH,RRK
M85164,NEWPORT MEDICAL GROUP,RRK
M85167,UNIVERSITY MEDICAL PRACTICE,RRK
M85170,GATE MEDICAL CENTRE,RRK
M85171,ROWLANDS ROAD SURGERY,RRK
M85172,RIDGACRE HOUSE SURGERY,RRK
M85174,THE BROOK SURGERY,RRK
M85175,THE HAWTHORNS SURGERY,RRK
M85176,KIRPAL MEDICAL PRACTICE,RRK
M85177,SWANSWELL MEDICAL CENTRE,RRK
M85178,MODALITY ENKI MEDICAL PRACTICE,RRK
M85179,MAYPOLE HEALTH SURGERY Y,RRK
M85600,KINGS NORTON SURGERY,RRK
M85624,PERRY PARK SURGERY,RRK
M85634,HEATHFIELD FAMILY CENTRE,RRK
M85642,CAVENDISH MEDICAL PRACTICE,RRK
M85669,TUDOR PRACTICE STOCKLAND GREEN,RRK
M85670,GREENFIELD MEDICAL CENTRE,RRK
M85671,BOURNVILLE SURGERY,RRK
M85676,VICTORIA ROAD MEDICAL CTR,RRK
M85677,FERNBANK MEDICAL PRACTICE,RRK
M85679,CHARLES ROAD SURGERY,RRK
M85680,COTTERILS LANE SURGERY,RRK
M85684,CITY ROAD MEDICAL CENTRE,RRK
M85686,DR KULSHRESTHA FAMILY PRACTICE,RRK
M85689,THE DOVECOTE SURGERY,RRK
M85693,FEATHERSTONE MEDICAL CENTRE,RRK
M85694,GARRETTS GREEN LANE SURGERY,RRK
M85697,CHURCH ROAD SURGERY,RRK
M85699,COVENTRY ROAD MEDICAL CENTRE,RRK
M85701,BURBURY MEDICAL CENTRE,RRK
M85706,DRUID GROUP - EMC SURGERY,RRK
M85711,CITY HEALTH CENTRE,RRK
M85713,HIGHGATE MEDICAL CENTRE,RRK
M85715,SOHO ROAD PRIMARY CARE CENTRE,RRK
M85716,DR KHUROO'S PRACTICE,RRK
M85717,DOWNSFIELD MEDICAL CENTRE,RRK
M85721,HOLYHEAD PRIMARY HEALTH CARE CENTRE,RRK
M85722,NASEBY MEDICAL CENTRE,RRK
M85730,LEY HILL SURGERY,RRK
M85732,BLOOMSBURY SURGERY,RRK
M85733,MOOR GREEN LANE MED.CTR.,RRK
M85735,GREET MEDICAL PRACTICE,RRK
M85736,ACOCKS GREEN MEDICAL CENTRE,RRK
M85739,PAK HEALTH CENTRE,RRK
M85746,MIRFIELD SURGERY,RRK
M85749,AUBREY ROAD MEDICAL CENTRE,RRK
M85753,VICARAGE ROAD SURGERY,RRK
M85756,SPRINGFIELD MEDICAL PRACT,RRK
M85757,SOHO ROAD HEALTH CENTRE,RRK
M85759,NECHELLS PRACTICE,RRK
M85766,BALSALL HEATH HEALTH CENTRE (S),RRK
M85768,SUMMERHILL MEDICAL UNIT,RRK
M85770,THE SHELDON MEDICAL CENTRE,RRK
M85774,SPRINGFIELD SURGERY,RRK
M85778,HALCYON MEDICAL,RRK
M85779,AYLESBURY SURGERY,RRK
M85781,BORDESLEY GREEN SURGERY,RRK
M85782,UNIVERSITY SOUTHGATE PRACTICE,RRK
M85783,STRENSHAM ROAD SURGERY,RRK
M85792,COTMORE SURGERY,RRK
M85794,"THE BALAJI SURGERY, THE SPARKBROOK CHC",RRK
M85797,HOCKLEY MEDICAL PRACTICE,RRK
M85803,PEARL MEDICAL CENTRE,RRK
M85805,ANN MARIE HOWES CENTRE,RRK
M85813,BIRMINGHAM WIC,RRK
M88020,SHERWOOD HOUSE MEDICAL PRACTICE,RRK
M89001,PARKFIELD MEDICAL CENTRE,RRK
M89002,KINGSHURST MEDICAL PRACTICE,RRK
M89003,GPS HEALTHCARE,RRK
M89004,HASLUCKS GREEN MEDICAL CENTRE,RRK
M89005,ST. MARGARETS MEDICAL PRACTICE,RRK
M89007,RICHMOND MEDICAL CENTRE,RRK
M89008,BOSWORTH MEDICAL GROUP,RRK
M89009,MANOR HOUSE LANE SURGERY,RRK
M89010,DORRIDGE SURGERY,RRK
M89012,CROFT MEDICAL CENTRE,RRK
M89013,ARRAN MEDICAL CENTRE,RRK
M89015,NORTHBROOK HEALTH CENTRE,RRK
M89016,BALSALL COMMON & MERIDEN GROUP PRACTICE,RRK
M89017,SOLIHULL HEALTHCARE PARTNERSHIP,RRK
M89019,HOBS MOAT MEDICAL CENTRE,RRK
M89021,COVENTRY ROAD PRACTICE,RRK
M89024,GRAFTON ROAD SURGERY,RRK
M89026,THE CASTLE PRACTICE,RRK
M89027,GREEN LANE SURGERY,RRK
M89028,MONKSPATH SURGERY,RRK
M89030,ARDEN MEDICAL CENTRE,RRK
M89601,THE JACEY PRACTICE,RRK
M89602,CHESTER ROAD SURGERY,RRK
M89608,HAMPTON SURGERY,RRK
M91642,QUESLETT MEDICAL CENTRE,RRK
Y00159,HALL GREEN HEALTH,RRK
Y01068,AMAANAH MEDICAL PRACTICE,RRK
Y01146,BARTLEY GREEN MEDICAL CENTRE,RRK
Y02245,BROOKLANDS,RRK
Y02539,LPS WEATHEROAK MEDICAL PRACTICE,RRK
Y02544,LPS CHARLES ROAD SURGERY,RRK
Y02545,LPS THE HARLEQUIN SURGERY,RRK
Y02546,LPS SCHOOLACRE SURGERY,RRK
Y02547,LPS POPLARS SURGERY,RRK
Y02548,LPS PEARL MEDICAL CENTRE,RRK
Y02549,LPS ERDINGTON MEDICAL CENTRE,RRK
Y02550,LPS THE SURGERY,RRK
Y02551,LPS CHURCH LANE MEDICAL CENTRE,RRK
Y02552,LPS THE DOVE MEDICAL PRACTICE,RRK
Y02554,LPS COFTON MEDICAL CENTRE,RRK
Y02555,LPS WAKE GREEN SURGERY,RRK
Y02556,LPS FRANKLEY HEALTH CENTRE,RRK
Y02557,LPS RIDGACRE HOUSE SURGERY,RRK
Y02558,LPS BELLEVUE MEDICAL CENTRE,RRK
Y02559,LPS BUNBURY ROAD SURGERY,RRK
Y02561,LPS WEST HEATH SURGERY,RRK
Y02562,LPS WAND MEDICAL CENTRE,RRK
Y02567,HODGE HILL FAMILY PRACTICE,RRK
Y02571,POPLAR PRIMARY CARE CENTRE,RRK
Y02620,THE HILL GENERAL PRACTICE & UCC,RRK
Y02794,OAKLEAF,RRK
Y03597,HAMD MEDICAL PRACTICE,RRK
Y03598,THE WESTBOURNE CENTRE,RRK
Y05826,THE HILL GP PRACTICE,RRK
Y06378,HEATH STREET HEALTH CENTRE,RRK
A99935,NOTTINGHAMSHIRE BCSC,RK5
C82040,ORCHARD SURGERY,RK5
C84001,LARWOOD SURGERY,RK5
C84004,ST ALBANS MEDICAL CENTRE,RK5
C84005,VILLAGE HEALTH GROUP,RK5
C84008,TUXFORD MEDICAL CENTRE,RK5
C84009,BARNBY GATE SURGERY,RK5
C84010,TRENTSIDE MEDICAL GROUP,RK5
C84011,ELMSWOOD SURGERY,RK5
C84012,WILLOWBROOK MEDICAL PRACTICE,RK5
C84013,KINGFISHER FAMILY PRACTICE,RK5
C84014,WOODLANDS MEDICAL PRACTICE,RK5
C84016,OAKWOOD SURGERY,RK5
C84017,BELVOIR HEALTH GROUP,RK5
C84018,FAMILY MEDICAL CENTRE (SOOD),RK5
C84019,FOUNTAIN MEDICAL CENTRE,RK5
C84020,CHURCHSIDE MEDICAL PRACTICE,RK5
C84021,MIDDLETON LODGE PRACTICE,RK5
C84023,THE UNIV OF NOTTINGHAM HEALTH SERV,RK5
C84024,NEWGATE MEDICAL GROUP,RK5
C84025,EAST BRIDGFORD MED CENTRE,RK5
C84026,STENHOUSE MEDICAL CENTRE,RK5
C84028,THE RUDDINGTON MED CENTRE,RK5
C84029,LOMBARD MEDICAL CENTRE,RK5
C84030,THE OAKS MEDICAL CENTRE,RK5
C84031,ST PETERS MEDICAL PRACTICE,RK5
C84032,EASTWOOD PRIMARY CARE CENTRE,RK5
C84033,WESTDALE LANE SURGERY,RK5
C84034,CHURCHFIELDS MEDICAL PRACTICE,RK5
C84035,CROWN HOUSE SURGERY,RK5
C84036,FOREST MEDICAL,RK5
C84037,ABBEY MEDICAL GROUP,RK5
C84039,DERBY ROAD HEALTH CENTRE,RK5
C84042,SAXON CROSS SURGERY,RK5
C84043,LEEN VIEW SURGERY,RK5
C84044,DEER PARK FAMILY MEDICAL PRACTICE,RK5
C84045,COLLINGHAM MEDICAL CENTRE,RK5
C84046,CLIFTON MEDICAL PRACTICE,RK5
C84047,THE CALVERTON PRACTICE,RK5
C84048,KEYWORTH MEDICAL PRACTICE,RK5
C84049,SOUTHWELL MEDICAL CENTRE,RK5
C84051,ORCHARD MEDICAL PRACTICE,RK5
C84053,TORKARD HILL MEDICAL CTRE,RK5
C84055,HIGHCROFT SURGERY,RK5
C84057,PLEASLEY SURGERY,RK5
C84059,SHERWOOD MEDICAL PARTNERSHIP,RK5
C84060,RIVERGREEN MEDICAL CENTRE,RK5
C84061,KING'S MEDICAL CENTRE,RK5
C84063,GREENDALE PRIMARY CARE CENTRE,RK5
C84064,PARKSIDE MEDICAL CENTRE,RK5
C84065,ABBEY MEDICAL CENTRE,RK5
C84066,DAYBROOK MEDICAL PRACTICE,RK5
C84067,ASHFIELD HOUSE (ANNESLEY),RK5
C84069,ROUNDWOOD SURGERY,RK5
C84072,THE WELLSPRING SURGERY,RK5
C84074,FAMILY MEDICAL CENTRE (KIRKBY),RK5
C84076,KIRKBY HEALTH CENTRE,RK5
C84077,BRIERLEY PARK MEDICAL CENTRE,RK5
C84078,HUCKNALL ROAD MEDICAL CENTRE,RK5
C84080,THE MANOR SURGERY,RK5
C84081,JOHN RYLE MEDICAL PRACTICE,RK5
C84084,RADCLIFFE-ON-TRENT. HEALTH CENTRE,RK5
C84085,VICTORIA AND MAPPERLEY PRACTICE,RK5
C84086,ST GEORGES MED PRACTICE,RK5
C84087,RAINWORTH HEALTH CENTRE,RK5
C84090,MUSTERS MEDICAL PRACTICE,RK5
C84091,ASPLEY MEDICAL CENTRE,RK5
C84092,BRIDGEWAY PRACTICE,RK5
C84094,RIVERSIDE HEALTH CENTRE,RK5
C84095,OAKENHALL MEDICAL PRACT,RK5
C84096,RADFORD HEALTH CENTRE (N PHILLIPS),RK5
C84101,BAWTRY AND BLYTH MEDICAL,RK5
C84103,THE FOREST PRACTICE,RK5
C84104,GREENFIELDS MEDICAL CENTRE (SHARMA OP),RK5
C84105,FAIRFIELDS PRACTICE,RK5
C84106,MILLVIEW SURGERY,RK5
C84107,THE LINDEN MEDICAL GROUP,RK5
C84112,BRAMCOTE SURGERY,RK5
C84113,MAJOR OAK MEDICAL PRACTICE,RK5
C84114,SKEGBY FAMILY MEDICAL CENTRE,RK5
C84115,PLAINS VIEW SURGERY,RK5
C84116,MELBOURNE PARK MEDICAL CENTRE,RK5
C84117,RADFORD MEDICAL PRACTICE (KAUR),RK5
C84120,CHILWELL VALLEY AND MEADOWS PRACTICE,RK5
C84122,WOLLATON PARK MEDICAL CENTRE,RK5
C84123,BILSTHORPE SURGERY,RK5
C84124,WHYBURN MEDICAL PRACTICE,RK5
C84127,RIVERBANK MEDICAL SERVICES,RK5
C84129,RISE PARK SURGERY,RK5
C84131,NEWTHORPE MEDICAL PRACTICE,RK5
C84133,PEACOCK HEALTHCARE,RK5
C84135,QUEENS BOWER SURGERY,RK5
C84136,ST. LUKE'S SURGERY,RK5
C84138,SPRINGFIELD MEDICAL CENTRE,RK5
C84140,LOWMOOR ROAD SURGERY,RK5
C84142,SELSTON SURGERY,RK5
C84144,MEADOWS HEALTH CENTRE (LARNER),RK5
C84150,UNITY SURGERY,RK5
C84151,THE MEDICAL CENTRE (IRFAN),RK5
C84602,MAPPERLEY PARK MEDICAL CENTRE,RK5
C84605,CASTLE HEALTHCARE PRACTICE,RK5
C84613,JUBILEE PARK MEDICAL PARTNERSHIP,RK5
C84619,TUDOR HOUSE MEDICAL PRACTICE,RK5
C84621,WEST BRIDGFORD MEDICAL CENTRE,RK5
C84624,HAMA MEDICAL CENTRE,RK5
C84628,SHERWOOD RISE MEDICAL CENTRE,RK5
C84629,HEALTH CARE COMPLEX, KIRKBY,RK5
C84637,SANDY LANE SURGERY,RK5
C84646,THE IVY MEDICAL GROUP,RK5
C84647,BILBOROUGH SURGERY,RK5
C84650,BOULEVARD MEDICAL CENTRE,RK5
C84654,JACKSDALE MEDICAL CENTRE,RK5
C84656,HILL VIEW SURGERY,RK5
C84658,MEDEN MEDICAL SERVICES,RK5
C84660,HOUNSFIELD SURGERY,RK5
C84664,WELBECK SURGERY,RK5
C84667,GILTBROOK SURGERY,RK5
C84676,GREENFIELDS MEDICAL CENTRE (YVS RAO),RK5
C84679,ACORN MEDICAL PRACTICE,RK5
C84680,RHR MEDICAL CENTRE,RK5
C84682,SHERRINGTON PARK MEDICAL PRACTICE,RK5
C84683,THE WINDMILL PRACTICE,RK5
C84688,BILBOROUGH MEDICAL CENTRE,RK5
C84691,HIGHGREEN PRACTICE (KHAN),RK5
C84692,NORTH LEVERTON SURGERY,RK5
C84693,BAKERSFIELD MEDICAL CENTRE,RK5
C84694,LIME TREE SURGERY,RK5
C84695,THE ALICE MEDICAL CENTRE,RK5
C84696,WEST OAK SURGERY,RK5
C84698,STRELLEY HEALTH CENTRE (COCKRILL),RK5
C84703,THE GAMSTON MEDICAL CTR.,RK5
C84704,JRB HEALTHCARE BEECHDALE SURGERY,RK5
C84705,HICKINGS LANE MEDICAL CTR,RK5
C84709,PARK HOUSE MEDICAL CENTRE,RK5
C84710,BULL FARM PRIMARY CARE RESOURCE CENTRE,RK5
C84714,SUNRISE MEDICAL PRACTICE,RK5
C84717,RIVERLYN MEDICAL CENTRE,RK5
C84720,NOTSPAR,RK5
C84721,THE FRIARY DROP-IN CENTRE,RK5
Y00026,THE OM SURGERY,RK5
Y00044,NOTTINGHAMSHIRE HOSPICE,RK5
Y00065,NEMS OOH,RK5
Y00108,NOTTINGHAM NHS URGENT CARE CENTRE,RK5
Y00481,NOTTINGHAM HOMELESS TEAM,RK5
Y00581,BASSETLAW DRUG & ALCOHOL SERVICE,RK5
Y00814,BASSETLAW PRIMARY CARE CENTRE OOH,RK5
Y00844,SUBSTANCE MISUSE CLINIC,RK5
Y00862,CBS OOH,RK5
Y01096,RICS,RK5
Y01097,IHSS,RK5
Y01142,RAM PATEL (DERMATOLOGY),RK5
Y01282,WHYBURN DERMATOLOGY (DR HILL),RK5
Y01696,BASSETLAW HOSPICE OF THE GOOD SHEPHERD,RK5
Y01988,STEP DOWN SCHEME,RK5
Y02130,NCTPCT DIRECT ACCESS SOUTH,RK5
Y02131,NCTPCT DIRECT ACCESS CENTRAL,RK5
Y02489,PRIMARY INTEGRATED COMMUNITY SERVICES,RK5
Y02661,JOHN EASTWOOD HOSPICE,RK5
Y02677,NUH COMMUNITY PAIN MANAGEMENT SERVICE,RK5
Y02847,PARLIAMENT STREET MEDICAL CENTRE,RK5
Y02945,NNEC HEART FAILURE,RK5
Y03104,PRINCIPIA COPD,RK5
Y03124,GRANGE FARM MEDICAL CENTRE,RK5
Y03133,EAST MIDLANDS MEDICAL SERVICES,RK5
Y03486,NWC BOUNDARY ROAD,RK5
Y03591,DERMATOLOGY CLINIC,RK5
Y03617,INTEGRATED RESPIRATORY SERVICE,RK5
Y03622,MANSFIELD & ASHFIELD DIABETES SERVICE,RK5
Y03743,NOTTINGHAM CITYCARE,RK5
Y03762,BASSETLAW HEALTH PARTNERSHIP,RK5
Y03963,CONTINENCE PRESCRIPTION SERVICE,RK5
Y04194,NW IN HOURS URGENT GP VISITING SERVICE,RK5
Y04361,M & A LTC PALLIATIVE CARE NURSE,RK5
Y04595,RUSHCLIFFE T&O COM CLINIC,RK5
Y04637,CNCS M&A CARE HOME SERVICE,RK5
Y04691,NMS CRI NOTTINGHAMSHIRE,RK5
Y04705,NOTT WOODTHORPE HOSPITAL NC,RK5
Y04728,NOTTINGHAM CITY PALLIATIVE CARE SERVICES,RK5
Y04812,RUSHCLIFFE URGENT CARE SERVICE,RK5
Y04985,JAKS EXTENDED SERVICE,RK5
Y05331,RUSHCLIFFE COMMUNITY GYNAECOLOGY CLINIC,RK5
Y05346,WESTWOOD PRIMARY CARE CENTRE,RK5
Y05369,BALDERTON SURGERY,RK5
Y05388,THE GRAND INTERMEDIATE CARE CENTRE,RK5
Y05622,SOUTHGLADE MEDICAL PRACTICE,RK5
Y06339,ST FRANCIS,RK5
Y06356,BILBOROUGH MEDICAL CENTRE,RK5
Y06443,WHYBURN MEDICAL PRACTICE,RK5